,Net Minting Rate,KPI C,Experiment Name,State Set,Params Set,timestep,param_minimum_stake_servicer,param_minimum_stake_period_servicer,param_minimum_pause_time,param_max_chains_servicer,param_relays_to_tokens_multiplier,param_slash_fraction_downtime,param_downtime_jail_duration,param_minimum_servicers_per_session,param_maximum_servicers_per_session,param_application_fee_per_relay,param_minimum_application_stake,param_app_burn_per_session,param_app_burn_per_relay,param_block_proposer_allocation,param_dao_allocation,param_servicer_allocation,param_stake_per_app_delegation,param_gateway_fee_per_relay,param_gateway_minimum_stake,param_session_token_bucket_coefficient,param_dao_fee_percentage,param_validator_fee_percentage,param_transaction_fee,param_application_max_number,param_servicer_max_number,param_service_max_number,param_gateway_max_number,param_service_max_number_link,param_application_leave_probability,param_gateway_leave_probability,param_service_leave_probability,param_servicer_leave_probability,param_service_unlinking_probability,param_gateway_undelegation_probability,param_relays_per_session_gamma_distribution_shape,param_relays_per_session_gamma_distribution_scale,param_average_session_per_application,param_servicer_jailing_probability,param_uses_gateway_probability,param_applications_use_min_servicers,param_applications_use_max_servicers,param_lambda_ewm_revenue_expectation,param_service_linking_probability_normal,param_service_linking_probability_just_joined,param_kick_bottom_probability,param_application_join_function,param_servicer_join_function,param_service_join_function,param_gateway_join_function,param_service_linking_function,param_gateway_delegation_function,param_relay_requests_function,param_submit_relay_requests_function,param_submit_relay_requests_policy_function,param_application_leave_function,param_service_leave_function,param_servicer_leave_function,param_gateway_leave_function,param_service_unlinking_function,param_gateway_undelegation_function,param_servicer_stake_function,param_application_stake_function,param_jailing_function,param_gateway_stake_function,param_application_minimum_stake,KPI E,KPI 1,KPI 3,KPI 11,KPI 14,total_relays,processed_relays,kpi_a,floating_supply,circulating_supply,dao_value_capture,POKT_burned_cummulative,POKT_minted_cummulative,POKT_net_mint_cummulative,burn_rate_cummulative,mint_rate_cummulative,net_mint_rate_cummulative
10,0.0007635627858261566,0.10671042976367912,gateway_viability_sweep_ag1_11,Base,gateway_viability_sweep_ag1_11,365,150000000000.0,10,10,15,25,1e-06,3600000000000,1,5,20,150000000000.0,0,0,0.05,0.1,0.85,150000000000.0,20,1000000000000.0,100,0.1,0.9,0.01,20,20,10,25,15,0.01,0.01,0.0025,0.01,0.01,0.01,5,900000,24,0.001,0.5,1,3,0.9,0.01,0.5,0.5,simple_unfiform,simple_unfiform,simple_unfiform,simple_unfiform,basic,basic,test,basic_gamma,V1,basic,basic,basic,basic,basic,basic,basic,basic,basic,basic,1000000000000.0,1.0,2844709018967.6133,-2160342914165.3386,0.013853878748998117,8.605236502771,526468808466.0,526468808466.0,1.0,1.5226789889234562e+16,1.5191592522353422e+16,8.643792552080638e-05,25960925935.554108,184859794750.0,158898868814.4459,2.138669107277132e-06,1.5446879449208205e-05,1.3308210341931073e-05
11,0.0007188679012735119,0.11297954422572597,gateway_viability_sweep_ag1_12,Base,gateway_viability_sweep_ag1_12,365,150000000000.0,10,10,15,25,1e-06,3600000000000,1,5,20,150000000000.0,0,0,0.05,0.1,0.85,150000000000.0,20,1000000000000.0,100,0.1,0.9,0.01,20,20,10,25,15,0.01,0.01,0.0025,0.01,0.01,0.01,5,900000,24,0.001,0.5,1,3,0.9,0.01,0.5,0.5,simple_unfiform,simple_unfiform,simple_unfiform,simple_unfiform,basic,basic,test,basic_gamma,V1,basic,basic,basic,basic,basic,basic,basic,basic,basic,basic,2000000000000.0,1.0,2564592121312.0566,-1981246990839.7925,0.005534204346959708,7.298285707570303,510058028952.0,510058028952.0,1.0,1.522610984887131e+16,1.519736604991207e+16,8.374727321986126e-05,25145481851.278473,190051383475.0,164905901623.72153,5.724305510614803e-06,4.349539808525926e-05,3.777109257464446e-05
12,0.00019531046551788753,0.06966761925449513,gateway_viability_sweep_ag1_13,Base,gateway_viability_sweep_ag1_13,365,150000000000.0,10,10,15,25,1e-06,3600000000000,1,5,20,150000000000.0,0,0,0.05,0.1,0.85,150000000000.0,20,1000000000000.0,100,0.1,0.9,0.01,100,20,10,25,15,0.01,0.01,0.0025,0.01,0.01,0.01,5,100000,24,0.001,0.5,1,3,0.9,0.01,0.5,0.5,simple_unfiform,simple_unfiform,simple_unfiform,simple_unfiform,basic,basic,test,basic_gamma,V1,basic,basic,basic,basic,basic,basic,basic,basic,basic,basic,1000000000000.0,1.0,585508358455.4886,-653017805875.5554,0.020165663439881,113.49151966948689,137770667027.0,137770667027.0,1.0,1.5218143832355342e+16,1.5153348693975582e+16,2.263264040145768e-05,65870052123.89969,562258322175.0,496388270051.10034,7.492169800628798e-06,4.845731663476446e-05,4.096514683413566e-05
13,0.00019589635960015847,0.07277807996937753,gateway_viability_sweep_ag1_14,Base,gateway_viability_sweep_ag1_14,365,150000000000.0,10,10,15,25,1e-06,3600000000000,1,5,20,150000000000.0,0,0,0.05,0.1,0.85,150000000000.0,20,1000000000000.0,100,0.1,0.9,0.01,100,20,10,25,15,0.01,0.01,0.0025,0.01,0.01,0.01,5,100000,24,0.001,0.5,1,3,0.9,0.01,0.5,0.5,simple_unfiform,simple_unfiform,simple_unfiform,simple_unfiform,basic,basic,test,basic_gamma,V1,basic,basic,basic,basic,basic,basic,basic,basic,basic,basic,2000000000000.0,1.0,517936596830.2284,-606920574375.0012,0.009259881098183046,29.074001676470193,137065596919.0,137065596919.0,1.0,1.5218152746835446e+16,1.5156103801678586e+16,2.251679999434623e-05,84023970919.42116,577070941650.0,493046970730.57886,1.7555173071057662e-05,0.00013010172629726046,0.0001125465532262028
14,0.0005065407093996563,0.0774096025129243,gateway_viability_sweep_ag1_15,Base,gateway_viability_sweep_ag1_15,365,150000000000.0,10,10,15,25,1e-06,3600000000000,1,5,20,150000000000.0,0,0,0.05,0.1,0.85,150000000000.0,20,1000000000000.0,100,0.1,0.9,0.01,100,20,10,25,15,0.01,0.01,0.0025,0.01,0.01,0.01,5,300000,24,0.001,0.5,1,3,0.9,0.01,0.5,0.5,simple_unfiform,simple_unfiform,simple_unfiform,simple_unfiform,basic,basic,test,basic_gamma,V1,basic,basic,basic,basic,basic,basic,basic,basic,basic,basic,1000000000000.0,1.0,1661809127276.1765,-1631828219624.095,0.007979015898156043,12.897648245487208,355044004636.0,355044004636.0,1.0,1.522287925409502e+16,1.516554955290396e+16,5.8307637206266406e-05,664014009106.4148,4702471430675.0,4038457421568.585,3.106007053122316e-05,0.0002263705360491107,0.00019531046551788753
15,0.0005436980073502929,0.06877013787615693,gateway_viability_sweep_ag1_16,Base,gateway_viability_sweep_ag1_16,365,150000000000.0,10,10,15,25,1e-06,3600000000000,1,5,20,150000000000.0,0,0,0.05,0.1,0.85,150000000000.0,20,1000000000000.0,100,0.1,0.9,0.01,100,20,10,25,15,0.01,0.01,0.0025,0.01,0.01,0.01,5,300000,24,0.001,0.5,1,3,0.9,0.01,0.5,0.5,simple_unfiform,simple_unfiform,simple_unfiform,simple_unfiform,basic,basic,test,basic_gamma,V1,basic,basic,basic,basic,basic,basic,basic,basic,basic,basic,2000000000000.0,1.0,1884803181720.8875,-2132187452321.9968,0.012871977115801894,22.66489320585641,377935220526.0,377935220526.0,1.0,1.5223444608780036e+16,1.5150295595809116e+16,6.206467629025736e-05,240368453179.70627,1726509322275.0,1486140869095.2937,1.8846346024620732e-05,0.0001315724785736322,0.00011272613254901144
16,0.0016207539510079947,0.07704497387608399,gateway_viability_sweep_ag1_17,Base,gateway_viability_sweep_ag1_17,365,150000000000.0,10,10,15,25,1e-06,3600000000000,1,5,20,150000000000.0,0,0,0.05,0.1,0.85,150000000000.0,20,1000000000000.0,100,0.1,0.9,0.01,100,20,10,25,15,0.01,0.01,0.0025,0.01,0.01,0.01,5,900000,24,0.001,0.5,1,3,0.9,0.01,0.5,0.5,simple_unfiform,simple_unfiform,simple_unfiform,simple_unfiform,basic,basic,test,basic_gamma,V1,basic,basic,basic,basic,basic,basic,basic,basic,basic,basic,1000000000000.0,1.0,5430398260857.31,-5030931009230.0,0.011072896197394955,5.658102706209511,1141155039102.0,1141155039102.0,1.0,1.523983220037833e+16,1.516391993853973e+16,0.00018719941725989955,229864708058.66248,1694745305850.0,1464880597791.3374,1.7956610467022098e-06,1.465544256592588e-05,1.285978151922367e-05
17,0.001393124914553289,0.08146462415347791,gateway_viability_sweep_ag1_18,Base,gateway_viability_sweep_ag1_18,365,150000000000.0,10,10,15,25,1e-06,3600000000000,1,5,20,150000000000.0,0,0,0.05,0.1,0.85,150000000000.0,20,1000000000000.0,100,0.1,0.9,0.01,100,20,10,25,15,0.01,0.01,0.0025,0.01,0.01,0.01,5,900000,24,0.001,0.5,1,3,0.9,0.01,0.5,0.5,simple_unfiform,simple_unfiform,simple_unfiform,simple_unfiform,basic,basic,test,basic_gamma,V1,basic,basic,basic,basic,basic,basic,basic,basic,basic,basic,2000000000000.0,1.0,4282238604667.3325,-3828346404293.484,0.009414176586027214,5.788552680560021,984071042281.0,984071042281.0,1.0,1.5236368785401502e+16,1.5177139372513162e+16,0.00016146745658298961,24906447708.00327,215460062625.0,190553614916.99673,2.1416767202575175e-06,1.599863980507115e-05,1.3856963084813634e-05
18,1.04434486345556e-05,0.26229101798398613,gateway_viability_sweep_ag1_19,Base,gateway_viability_sweep_ag1_19,365,150000000000.0,10,10,15,25,1e-06,3600000000000,1,5,20,150000000000.0,0,0,0.05,0.1,0.85,150000000000.0,20,2000000000000.0,100,0.1,0.9,0.01,5,20,10,25,15,0.01,0.01,0.0025,0.01,0.01,0.01,5,100000,24,0.001,0.5,1,3,0.9,0.01,0.5,0.5,simple_unfiform,simple_unfiform,simple_unfiform,simple_unfiform,basic,basic,test,basic_gamma,V1,basic,basic,basic,basic,basic,basic,basic,basic,basic,basic,1000000000000.0,1.0,-117327393567.48792,-34022234904340.0,0.020515686817440253,247.9610263289508,7394391790.0,7394391790.0,1.0,1.5215331048869084e+16,1.5212781319631384e+16,1.2149646160997618e-06,32540218639.10838,235026930000.0,202486711360.89163,4.4580569292466314e-05,0.0002975985212234355,0.0002530179519309692
19,1.0838254079413852e-05,0.2501342338392232,gateway_viability_sweep_ag1_20,Base,gateway_viability_sweep_ag1_20,365,150000000000.0,10,10,15,25,1e-06,3600000000000,1,5,20,150000000000.0,0,0,0.05,0.1,0.85,150000000000.0,20,2000000000000.0,100,0.1,0.9,0.01,5,20,10,25,15,0.01,0.01,0.0025,0.01,0.01,0.01,5,100000,24,0.001,0.5,1,3,0.9,0.01,0.5,0.5,simple_unfiform,simple_unfiform,simple_unfiform,simple_unfiform,basic,basic,test,basic_gamma,V1,basic,basic,basic,basic,basic,basic,basic,basic,basic,basic,2000000000000.0,1.0,-123393067478.9254,-34020555907600.0,0.017676700323987188,335.0485948510698,7602055339.0,7602055339.0,1.0,1.5215337055901872e+16,1.5213087302322372e+16,1.2490849202809644e-06,87096293783.19788,661789969600.0,574693675816.8021,6.6912380252125195e-06,4.787345005820391e-05,4.118221203299139e-05
